interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar,wind,geothermal,biomass,biogas,small_hydro,coal,nuclear,natural_gas,large_hydro,batteries,imports,other
2025-04-01T00:00:00-07:00,2025-04-01 07:00:00+00:00,2025-04-01T00:05:00-07:00,2025-04-01 07:05:00+00:00,92,4490,832,126,143,225,1,2276,3196,3375,356,7383,0
2025-04-01T00:05:00-07:00,2025-04-01 07:05:00+00:00,2025-04-01T00:10:00-07:00,2025-04-01 07:10:00+00:00,92,4397,838,128,144,224,1,2276,3176,3167,1122,7227,0
2025-04-01T00:10:00-07:00,2025-04-01 07:10:00+00:00,2025-04-01T00:15:00-07:00,2025-04-01 07:15:00+00:00,93,4366,839,128,143,224,1,2276,3078,3105,1244,7358,0
2025-04-01T00:15:00-07:00,2025-04-01 07:15:00+00:00,2025-04-01T00:20:00-07:00,2025-04-01 07:20:00+00:00,92,4329,839,127,143,223,0,2277,3053,3114,1022,7445,0
2025-04-01T00:20:00-07:00,2025-04-01 07:20:00+00:00,2025-04-01T00:25:00-07:00,2025-04-01 07:25:00+00:00,92,4249,840,128,143,224,0,2277,3120,3087,892,7621,0
2025-04-01T00:25:00-07:00,2025-04-01 07:25:00+00:00,2025-04-01T00:30:00-07:00,2025-04-01 07:30:00+00:00,92,4189,841,127,144,223,1,2277,3148,3115,823,7656,0
2025-04-01T00:30:00-07:00,2025-04-01 07:30:00+00:00,2025-04-01T00:35:00-07:00,2025-04-01 07:35:00+00:00,92,4218,841,127,144,223,1,2277,3164,3115,729,7699,0
2025-04-01T00:35:00-07:00,2025-04-01 07:35:00+00:00,2025-04-01T00:40:00-07:00,2025-04-01 07:40:00+00:00,92,4267,840,128,144,224,1,2276,3167,3096,560,7666,0
2025-04-01T00:40:00-07:00,2025-04-01 07:40:00+00:00,2025-04-01T00:45:00-07:00,2025-04-01 07:45:00+00:00,92,4267,841,125,144,224,1,2277,3227,3079,513,7651,0
2025-04-01T00:45:00-07:00,2025-04-01 07:45:00+00:00,2025-04-01T00:50:00-07:00,2025-04-01 07:50:00+00:00,-23,4239,840,126,144,222,0,2277,3261,3081,371,7622,0
2025-04-01T00:50:00-07:00,2025-04-01 07:50:00+00:00,2025-04-01T00:55:00-07:00,2025-04-01 07:55:00+00:00,-56,4196,840,126,144,222,0,2277,3275,3112,406,7520,0
2025-04-01T00:55:00-07:00,2025-04-01 07:55:00+00:00,2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,-56,4164,840,126,144,223,1,2277,3209,3116,329,7638,0
2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,2025-04-01T01:05:00-07:00,2025-04-01 08:05:00+00:00,-56,4156,840,127,144,224,2,2277,3080,3102,367,7678,0
2025-04-01T01:05:00-07:00,2025-04-01 08:05:00+00:00,2025-04-01T01:10:00-07:00,2025-04-01 08:10:00+00:00,-57,4257,846,126,144,224,0,2277,3009,3028,474,7487,0
2025-04-01T01:10:00-07:00,2025-04-01 08:10:00+00:00,2025-04-01T01:15:00-07:00,2025-04-01 08:15:00+00:00,-57,4361,846,127,144,223,0,2276,3000,2992,346,7490,0
2025-04-01T01:15:00-07:00,2025-04-01 08:15:00+00:00,2025-04-01T01:20:00-07:00,2025-04-01 08:20:00+00:00,-57,4405,843,125,144,223,0,2277,2994,3004,297,7476,0
2025-04-01T01:20:00-07:00,2025-04-01 08:20:00+00:00,2025-04-01T01:25:00-07:00,2025-04-01 08:25:00+00:00,-57,4306,842,126,144,223,1,2279,2973,2890,382,7528,0
2025-04-01T01:25:00-07:00,2025-04-01 08:25:00+00:00,2025-04-01T01:30:00-07:00,2025-04-01 08:30:00+00:00,-57,4248,837,125,144,224,0,2277,2973,2688,521,7718,0
2025-04-01T01:30:00-07:00,2025-04-01 08:30:00+00:00,2025-04-01T01:35:00-07:00,2025-04-01 08:35:00+00:00,-57,4203,838,123,144,224,0,2277,2976,2664,502,7660,0
2025-04-01T01:35:00-07:00,2025-04-01 08:35:00+00:00,2025-04-01T01:40:00-07:00,2025-04-01 08:40:00+00:00,-57,4256,837,123,144,224,0,2277,2984,2655,310,7614,0
2025-04-01T01:40:00-07:00,2025-04-01 08:40:00+00:00,2025-04-01T01:45:00-07:00,2025-04-01 08:45:00+00:00,-57,4221,837,124,144,224,1,2277,2927,2668,296,7654,0
2025-04-01T01:45:00-07:00,2025-04-01 08:45:00+00:00,2025-04-01T01:50:00-07:00,2025-04-01 08:50:00+00:00,-57,4128,836,124,144,224,0,2277,2861,2685,350,7723,0
2025-04-01T01:50:00-07:00,2025-04-01 08:50:00+00:00,2025-04-01T01:55:00-07:00,2025-04-01 08:55:00+00:00,-57,4086,835,123,144,224,0,2277,2814,2699,383,7709,0
2025-04-01T01:55:00-07:00,2025-04-01 08:55:00+00:00,2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,-57,4053,835,124,144,224,0,2277,2841,2700,336,7680,0
2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,2025-04-01T02:05:00-07:00,2025-04-01 09:05:00+00:00,-57,4083,835,124,144,224,0,2277,2962,2653,267,7589,0
2025-04-01T02:05:00-07:00,2025-04-01 09:05:00+00:00,2025-04-01T02:10:00-07:00,2025-04-01 09:10:00+00:00,-57,4101,830,126,143,224,0,2277,3023,2543,490,7316,0
2025-04-01T02:10:00-07:00,2025-04-01 09:10:00+00:00,2025-04-01T02:15:00-07:00,2025-04-01 09:15:00+00:00,-57,4109,828,127,143,224,1,2276,3023,2536,201,7557,0
