interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,supply,stand_alone_batteries,hybrid_batteries
2025-04-01T00:00:00-07:00,2025-04-01 07:00:00+00:00,2025-04-01T00:05:00-07:00,2025-04-01 07:05:00+00:00,356,314,48
2025-04-01T00:05:00-07:00,2025-04-01 07:05:00+00:00,2025-04-01T00:10:00-07:00,2025-04-01 07:10:00+00:00,1122,1190,21
2025-04-01T00:10:00-07:00,2025-04-01 07:10:00+00:00,2025-04-01T00:15:00-07:00,2025-04-01 07:15:00+00:00,1244,1199,18
2025-04-01T00:15:00-07:00,2025-04-01 07:15:00+00:00,2025-04-01T00:20:00-07:00,2025-04-01 07:20:00+00:00,1022,972,28
2025-04-01T00:20:00-07:00,2025-04-01 07:20:00+00:00,2025-04-01T00:25:00-07:00,2025-04-01 07:25:00+00:00,892,782,102
2025-04-01T00:25:00-07:00,2025-04-01 07:25:00+00:00,2025-04-01T00:30:00-07:00,2025-04-01 07:30:00+00:00,823,714,116
2025-04-01T00:30:00-07:00,2025-04-01 07:30:00+00:00,2025-04-01T00:35:00-07:00,2025-04-01 07:35:00+00:00,729,610,90
2025-04-01T00:35:00-07:00,2025-04-01 07:35:00+00:00,2025-04-01T00:40:00-07:00,2025-04-01 07:40:00+00:00,560,539,20
2025-04-01T00:40:00-07:00,2025-04-01 07:40:00+00:00,2025-04-01T00:45:00-07:00,2025-04-01 07:45:00+00:00,513,483,18
2025-04-01T00:45:00-07:00,2025-04-01 07:45:00+00:00,2025-04-01T00:50:00-07:00,2025-04-01 07:50:00+00:00,371,502,18
2025-04-01T00:50:00-07:00,2025-04-01 07:50:00+00:00,2025-04-01T00:55:00-07:00,2025-04-01 07:55:00+00:00,532,391,18
2025-04-01T00:55:00-07:00,2025-04-01 07:55:00+00:00,2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,532,306,18
2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,2025-04-01T01:05:00-07:00,2025-04-01 08:05:00+00:00,433,360,22
2025-04-01T01:05:00-07:00,2025-04-01 08:05:00+00:00,2025-04-01T01:10:00-07:00,2025-04-01 08:10:00+00:00,474,502,34
2025-04-01T01:10:00-07:00,2025-04-01 08:10:00+00:00,2025-04-01T01:15:00-07:00,2025-04-01 08:15:00+00:00,346,502,36
2025-04-01T01:15:00-07:00,2025-04-01 08:15:00+00:00,2025-04-01T01:20:00-07:00,2025-04-01 08:20:00+00:00,297,264,35
2025-04-01T01:20:00-07:00,2025-04-01 08:20:00+00:00,2025-04-01T01:25:00-07:00,2025-04-01 08:25:00+00:00,382,367,34
2025-04-01T01:25:00-07:00,2025-04-01 08:25:00+00:00,2025-04-01T01:30:00-07:00,2025-04-01 08:30:00+00:00,521,491,34
2025-04-01T01:30:00-07:00,2025-04-01 08:30:00+00:00,2025-04-01T01:35:00-07:00,2025-04-01 08:35:00+00:00,502,502,30
2025-04-01T01:35:00-07:00,2025-04-01 08:35:00+00:00,2025-04-01T01:40:00-07:00,2025-04-01 08:40:00+00:00,310,278,22
2025-04-01T01:40:00-07:00,2025-04-01 08:40:00+00:00,2025-04-01T01:45:00-07:00,2025-04-01 08:45:00+00:00,296,269,31
2025-04-01T01:45:00-07:00,2025-04-01 08:45:00+00:00,2025-04-01T01:50:00-07:00,2025-04-01 08:50:00+00:00,350,324,23
2025-04-01T01:50:00-07:00,2025-04-01 08:50:00+00:00,2025-04-01T01:55:00-07:00,2025-04-01 08:55:00+00:00,383,502,19
2025-04-01T01:55:00-07:00,2025-04-01 08:55:00+00:00,2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,324,317,14
2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,2025-04-01T02:05:00-07:00,2025-04-01 09:05:00+00:00,267,260,13
