interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2025-04-01T00:00:00-07:00,2025-04-01 07:00:00+00:00,2025-04-01T00:05:00-07:00,2025-04-01 07:05:00+00:00,21394
2025-04-01T00:05:00-07:00,2025-04-01 07:05:00+00:00,2025-04-01T00:10:00-07:00,2025-04-01 07:10:00+00:00,21509
2025-04-01T00:10:00-07:00,2025-04-01 07:10:00+00:00,2025-04-01T00:15:00-07:00,2025-04-01 07:15:00+00:00,21725
2025-04-01T00:15:00-07:00,2025-04-01 07:15:00+00:00,2025-04-01T00:20:00-07:00,2025-04-01 07:20:00+00:00,21684
2025-04-01T00:20:00-07:00,2025-04-01 07:20:00+00:00,2025-04-01T00:25:00-07:00,2025-04-01 07:25:00+00:00,21737
2025-04-01T00:25:00-07:00,2025-04-01 07:25:00+00:00,2025-04-01T00:30:00-07:00,2025-04-01 07:30:00+00:00,21635
2025-04-01T00:30:00-07:00,2025-04-01 07:30:00+00:00,2025-04-01T00:35:00-07:00,2025-04-01 07:35:00+00:00,21700
2025-04-01T00:35:00-07:00,2025-04-01 07:35:00+00:00,2025-04-01T00:40:00-07:00,2025-04-01 07:40:00+00:00,21503
2025-04-01T00:40:00-07:00,2025-04-01 07:40:00+00:00,2025-04-01T00:45:00-07:00,2025-04-01 07:45:00+00:00,21423
2025-04-01T00:45:00-07:00,2025-04-01 07:45:00+00:00,2025-04-01T00:50:00-07:00,2025-04-01 07:50:00+00:00,21282
2025-04-01T00:50:00-07:00,2025-04-01 07:50:00+00:00,2025-04-01T00:55:00-07:00,2025-04-01 07:55:00+00:00,21206
2025-04-01T00:55:00-07:00,2025-04-01 07:55:00+00:00,2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,21138
2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,2025-04-01T01:05:00-07:00,2025-04-01 08:05:00+00:00,21037
2025-04-01T01:05:00-07:00,2025-04-01 08:05:00+00:00,2025-04-01T01:10:00-07:00,2025-04-01 08:10:00+00:00,20969
2025-04-01T01:10:00-07:00,2025-04-01 08:10:00+00:00,2025-04-01T01:15:00-07:00,2025-04-01 08:15:00+00:00,20919
2025-04-01T01:15:00-07:00,2025-04-01 08:15:00+00:00,2025-04-01T01:20:00-07:00,2025-04-01 08:20:00+00:00,20867
2025-04-01T01:20:00-07:00,2025-04-01 08:20:00+00:00,2025-04-01T01:25:00-07:00,2025-04-01 08:25:00+00:00,20844
2025-04-01T01:25:00-07:00,2025-04-01 08:25:00+00:00,2025-04-01T01:30:00-07:00,2025-04-01 08:30:00+00:00,20683
