interval_start_local,hourly_load,hour,dayofweek,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24
2025-04-02 00:00:00-07:00,21962.416666666668,0,2,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23132.25,21159.166666666668,19930.833333333332,19620.583333333332,19959.75,20625.5,21494.666666666668,21143.5,20543.75,20270.333333333332,20627.5,21937.75,24120.083333333332,25061.5,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668
2025-04-02 01:00:00-07:00,21143.5,1,2,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23132.25,21159.166666666668,19930.833333333332,19620.583333333332,19959.75,20625.5,20543.75,20270.333333333332,20627.5,21937.75,24120.083333333332,25061.5,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332
2025-04-02 02:00:00-07:00,20543.75,2,2,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23132.25,21159.166666666668,19930.833333333332,19620.583333333332,19959.75,20270.333333333332,20627.5,21937.75,24120.083333333332,25061.5,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332
2025-04-02 03:00:00-07:00,20270.333333333332,3,2,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23132.25,21159.166666666668,19930.833333333332,19620.583333333332,20627.5,21937.75,24120.083333333332,25061.5,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668
2025-04-02 04:00:00-07:00,20627.5,4,2,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23132.25,21159.166666666668,19930.833333333332,21937.75,24120.083333333332,25061.5,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332
2025-04-02 05:00:00-07:00,21937.75,5,2,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23132.25,21159.166666666668,24120.083333333332,25061.5,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332
2025-04-02 06:00:00-07:00,24120.083333333332,6,2,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23132.25,25061.5,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332
2025-04-02 07:00:00-07:00,25061.5,7,2,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,24282.166666666668,23883.25,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332
2025-04-02 08:00:00-07:00,23883.25,8,2,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,23832.666666666668,21524.916666666668,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668
2025-04-02 09:00:00-07:00,21524.916666666668,9,2,23883.25,25061.5,24120.083333333332,21937.75,20627.5,20270.333333333332,20543.75,21143.5,21962.416666666668,22567.583333333332,23983.5,25298.666666666668,25837.5,25715.416666666668,23899.083333333332,21730.583333333332,19568.166666666668,18660.416666666668,17961.916666666668,18018.833333333332,18498.416666666668,19738.416666666668,21419.25,22845.25,19247.25,17585.333333333332,16740.416666666668,16106.416666666666,15693.25,16407.833333333332,17591.0,19696.916666666668,22460.0,24790.333333333332,25209.416666666668,24616.333333333332,23464.166666666668,22056.833333333332,21335.416666666668,20861.333333333332,20386.833333333332,20111.666666666668,20518.333333333332,21689.583333333332,23683.583333333332,24232.583333333332,22602.666666666668,20398.583333333332
